AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT,ORG TYPE
HHS-ADMINISTRATION FOR COMMUNITY LIVING,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$19,909",State Univ/College
HHS-ADMINISTRATION FOR COMMUNITY LIVING,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$22,109",State Univ/College
HHS-AGENCY FOR HEALTHCARE RESEARCH & QUALITY,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$11,221",State Univ/College
HHS-AGENCY FOR HEALTHCARE RESEARCH & QUALITY,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$17,331",State Univ/College
HHS-AGENCY FOR HEALTHCARE RESEARCH & QUALITY,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$51,686",State Univ/College
HHS-AGENCY FOR HEALTHCARE RESEARCH & QUALITY,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$36,250",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$15,076",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$2,946",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$21,391",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$21,612",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$694,State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$39,294",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$16,632",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$604,State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$424,State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$68,765",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$8,341",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$38,413",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$14,609",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$13,530",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$15,865",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$6,315",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$145,733",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$19,729",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$53,998",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$6,844",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$34,111",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$88,277",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$27,000",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$12,524",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$28,939",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$12,608",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$15,530",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$31,775",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$75,281",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$19,462",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$44,090",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$11,484",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$10,930",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$47,252",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$9,003",State Univ/College
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$32,949",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$26,329",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$3,049",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,495",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$7,273",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$19,786",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$8,259",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$1,583",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$15,028",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$7,896",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$32,629",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$41,575",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$58,981",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF TOLEDO,"State - University, College, Jr. College",3/6/2025,"$266,136",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$9,852",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$15,839",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$16,729",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$30,137",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$3,344",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$23,142",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$41,925",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$23,430",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$29,417",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$53,777",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$36,636",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$25,557",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,UNIVERSITY OF WASHINGTON,"State - University, College, Jr. College",3/6/2025,"$12,532",State Univ/College
HHS-HEALTH RESOURCES & SERVICES ADMINISTRATION,"Board of Regents, University of Nebraska-Lincoln","State - University, College, Jr. College",3/6/2025,$597,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$3,737",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,504",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$60,101",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$124,425",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$82,556",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$15,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$73,010",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$74,898",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$5,416",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$270,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$6,541",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$9,289",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$17,749",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$5,000",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$20,947",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,241",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$9,489",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$16,772",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$1,111",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$18,262",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$3,503",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$566,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$12,647",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$45,663",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,075",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,329",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$358,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$1,309",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$11,424",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$8,227",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$22,683",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$15,885",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$7,227",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$19,953",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$11,885",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$12,575",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,370",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$7,588",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$1,417",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$47,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$5,188",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$53,299",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$2,743",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,811",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$12,228",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$14,133",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$16,407",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,237",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$148,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$11,201",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$9,884",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$47,839",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$22,301",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$28,091",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$10,531",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$21,051",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$20,971",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$26,053",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$19,610",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,$685,State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$4,884",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$21,303",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$116,160",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/6/2025,"$12,682",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$23,951",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$11,562",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$17,092",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$27,264",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$24,191",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$21,152",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$1,774",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$4,693",State Univ/College
HHS-NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF PITTSBURGH, THE","State - University, College, Jr. College",3/6/2025,"$2,352",State Univ/College
